"left_1","left_2","left_3","right_1","right_2","right_3"
"9785.09","5730.66","16779.09","5408.53","6107.47","9197.09"
"11156.66","7102.09","13415.72","6189.41","5566.00","9476.28"
"8700.97","2265.41","15105.59","4989.28","4676.34","17009.91"
"11555.75","8208.91","25478.28","2850.94","4135.25","803.50"
"12343.75","7166.72","16126.75","4040.00","4606.06","8508.34"
"11874.25","5119.69","13332.53","5970.56","2297.47","14131.69"
"7710.53","9472.53","15319.34","6064.63","5592.81","9978.09"
"5614.38","1346.50","27350.69","935.25","1787.22","15284.81"
"9194.88","5133.75","16300.41","4204.47","4746.16","12768.75"
"2.13","-0.81","0.56","17935.19","436.53","34154.06"
"40920.91","6442.88","5824.66","9.16","-1.22","-2.75"
