"left_1","left_2","left_3","right_1","right_2","right_3"
"46.11","49.96","43.90","21.87","47.22","47.66"
"55.16","84.30","58.11","28.94","73.20","73.88"
"66.69","28.10","76.18","37.95","7.08","7.15"
"82.33","87.43","1.29","50.17","51.95","52.43"
"91.39","21.86","15.49","57.25","77.92","78.64"
"97.98","46.84","25.82","62.39","96.81","97.71"
"4.12","68.69","34.86","66.89","14.17","14.30"
"11.53","96.79","46.48","72.68","35.42","35.75"
"32.11","74.94","78.76","88.76","94.45","95.32"
"1.65","37.47","87.80","43.74","94.45","95.32"
"35.40","65.57","41.32","70.11","92.09","92.94"
