"left_1","left_2","left_3","right_1","right_2","right_3"
"79.9","79.3","79.8","79.7","79.6","79.3"
"40.5","40.1","40.5","40.7","40.5","40.8"
"93.4","92.9","93.4","93.5","93.4","93.6"
"25.3","26.2","26.1","25.9","26.3","26.3"
"56.6","57.5","57.4","57.1","57.5","57.5"
"11.6","11.2","11.3","11.1","10.9","11.8"
"26.5","26","26.1","26","25.7","26.7"
"52.5","52.1","52.1","52","51.7","52.7"
"86.3","85.8","85.9","85.7","85.5","86.5"
"7.5","8","7.9","7.7","8.3","7.8"
"31.1","31.6","31.6","31.3","31.9","31.4"
"69.7","70.1","70.1","69.8","70.4","69.9"
