"left_1","left_2","left_3","right_1","right_2","right_3"
"65.6","64.9","65","65.2","64.7","64.9"
"82.4","81.6","81.8","82","81.5","81.6"
"5.7","5.6","5.5","5.8","5.2","5.3"
"22.5","22.4","22.3","22.6","22","22.1"
"44.1","44","43.9","44.2","43.6","43.7"
"54.3","54.2","54.1","54.4","53.8","53.9"
"65.1","65","64.9","65.3","64.7","64.8"
"75.4","75.3","75.2","75.5","75","75.1"
"87.1","87","86.9","87.2","86.6","86.8"
"7.5","7.6","7.4","7.8","6.7","6.9"
"20.5","20.6","20.4","20.8","19.7","19.8"
"38.5","38.6","38.4","38.8","37.7","37.9"
