"left_1","left_2","left_3","right_1","right_2","right_3"
"9.8","4.8","20.5","5.3","8.5","15.5"
"10.5","5.2","18.5","5.9","9.7","14.8"
"8","3","16.4","4.9","9.1","23.1"
"9.7","4.9","27","4","8.5","10.2"
"10.6","4.9","20.7","5.7","9.2","13.5"
"9.8","4.4","20.3","4.5","8.9","16.7"
"8.1","6.5","16.8","4.1","10.2","19.1"
"5.9","3.7","22.7","3.6","8.5","19.8"
"8.4","3.5","20.8","3.3","9.4","18.9"
"0","-0.1","-0.1","8","29.1","27.5"
"24.2","19.9","20.8","0","-0.1","0"
"-0.1","-0.1","-0.1","0","-0.1","0"
